3694;11;2017-07-13;24
3814;11;2017-07-13;84
3898;11;2017-07-13;5
3449;11;2017-07-13;80
4059;11;2017-07-13;30
3567;11;2017-07-13;16
2959;11;2017-07-13;41
3610;11;2017-07-13;12
3786;11;2017-07-13;42
4391;11;2017-07-13;48
1429;11;2017-07-13;26
1429;12;2017-07-13;80
1429;13;2017-07-13;30
2272;11;2017-07-13;53
1761;11;2017-07-13;8
3655;11;2017-07-13;21
2133;11;2017-07-13;57
556;11;2017-07-13;81
3254;11;2017-07-13;18
4393;11;2017-07-13;13
4976;11;2017-07-13;37
2349;11;2017-07-13;39
3221;11;2017-07-13;83
3221;12;2017-07-13;69
882;11;2017-07-13;32
