3694;71;2017-07-12;62
3814;71;2017-07-12;63
3898;71;2017-07-12;78
3449;71;2017-07-12;60
4059;71;2017-07-12;11
3567;71;2017-07-12;24
2959;71;2017-07-12;59
3610;71;2017-07-12;45
3786;71;2017-07-12;77
4391;71;2017-07-12;8
1429;71;2017-07-12;27
1429;72;2017-07-12;5
2272;71;2017-07-12;73
1761;71;2017-07-12;68
3655;71;2017-07-12;30
2133;71;2017-07-12;29
556;71;2017-07-12;84
3254;71;2017-07-12;8
4393;71;2017-07-12;43
4976;71;2017-07-12;21
2349;71;2017-07-12;40
3221;71;2017-07-12;45
3221;72;2017-07-12;21
882;71;2017-07-12;61
