3694;11;2017-07-10;48
3814;11;2017-07-10;57
3898;11;2017-07-10;29
3449;11;2017-07-10;80
4059;11;2017-07-10;54
3567;11;2017-07-10;38
2959;11;2017-07-10;10
3610;11;2017-07-10;36
3786;11;2017-07-10;29
4391;11;2017-07-10;34
1429;11;2017-07-10;26
1429;12;2017-07-10;69
1429;13;2017-07-10;69
2272;11;2017-07-10;67
1761;11;2017-07-10;22
3655;11;2017-07-10;9
2133;11;2017-07-10;39
556;11;2017-07-10;63
3254;11;2017-07-10;20
4393;11;2017-07-10;80
4976;11;2017-07-10;6
2349;11;2017-07-10;71
3221;11;2017-07-10;22
3221;12;2017-07-10;6
882;11;2017-07-10;23
