3694;11;2017-07-20;61
3814;11;2017-07-20;46
3898;11;2017-07-20;60
3449;11;2017-07-20;80
4059;11;2017-07-20;29
3567;11;2017-07-20;68
2959;11;2017-07-20;44
3610;11;2017-07-20;45
3786;11;2017-07-20;43
4391;11;2017-07-20;31
1429;11;2017-07-20;14
1429;12;2017-07-20;80
1429;13;2017-07-20;83
2272;11;2017-07-20;46
1761;11;2017-07-20;84
3655;11;2017-07-20;18
2133;11;2017-07-20;82
556;11;2017-07-20;22
3254;11;2017-07-20;21
4393;11;2017-07-20;58
4976;11;2017-07-20;67
2349;11;2017-07-20;23
3221;11;2017-07-20;62
3221;12;2017-07-20;24
882;11;2017-07-20;15
