3694;11;2017-07-03;12
3814;11;2017-07-03;64
3898;11;2017-07-03;69
3449;11;2017-07-03;73
4059;11;2017-07-03;60
3567;11;2017-07-03;63
2959;11;2017-07-03;48
3610;11;2017-07-03;33
3786;11;2017-07-03;56
4391;11;2017-07-03;67
1429;11;2017-07-03;52
1429;12;2017-07-03;76
1429;13;2017-07-03;15
2272;11;2017-07-03;13
1761;11;2017-07-03;7
3655;11;2017-07-03;25
2133;11;2017-07-03;74
556;11;2017-07-03;15
3254;11;2017-07-03;48
4393;11;2017-07-03;27
4976;11;2017-07-03;77
2349;11;2017-07-03;48
3221;11;2017-07-03;33
3221;12;2017-07-03;41
882;11;2017-07-03;39
